logical_id,source_group,request_id,call_type,npc_id,input_tokens,output_tokens,success,fallback_used,evidence_level,full_prompt,result_summary
main_unretained_29,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_30,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_31,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_32,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_33,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_34,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_35,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_36,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_37,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_38,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_39,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_40,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_41,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_42,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_43,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_44,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_45,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_46,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_47,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_48,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_49,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_50,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_51,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_52,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_53,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_54,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_55,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_56,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_57,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_58,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_59,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_60,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_61,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_62,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_63,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_64,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_65,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_66,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
main_unretained_67,main,,plan_day,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 18 unretained plan_day calls
